URL,Typical Entry-Level Education,Work Experience in a Related Occupation,On-the-job Training,"Number of Jobs, 2019","Employment Change, 2019-29",Job_Title,Yearly_Wage,Hourly_Wage,Job_Outlook_2019-29_Rate,Job_Outlook_2019-29_Discription
https://www.bls.gov/ooh/healthcare/radiation-therapists.htm,Associate's degree,None,None,18500,1300,Radiation therapists,85560.0,41.14,0.07, Faster than average
https://www.bls.gov/ooh/education-training-and-library/adult-literacy-and-ged-teachers.htm,Bachelor's degree,None,None,59300,-6200,High school equivalency diploma teachers,54350.0,26.13,-0.1, Decline
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,High school diploma or equivalent,None,See How to Become One,1343400,3500,Gaming cage cashiers,40540.0,19.49,0.0, Little or no change
https://www.bls.gov/ooh/arts-and-design/craft-and-fine-artists.htm,See How to Become One,None,Long-term on-the-job training,51900,100,Portrait painters,48760.0,23.44,0.0, Little or no change
https://www.bls.gov/ooh/healthcare/pharmacy-technicians.htm,High school diploma or equivalent,None,Moderate-term on-the-job training,422300,15200,Pharmacy technicians,33950.0,16.32,0.04, As fast as average
https://www.bls.gov/ooh/healthcare/nurse-anesthetists-nurse-midwives-and-nurse-practitioners.htm,Master's degree,None,None,263400,117700,CRNAs,115800.0,55.67,0.45, Much faster than average
https://www.bls.gov/ooh/healthcare/speech-language-pathologists.htm,Master's degree,None,Internship/residency,162600,40500,Public school speech clinicians,79120.0,38.04,0.25, Much faster than average
https://www.bls.gov/ooh/construction-and-extraction/brickmasons-blockmasons-and-stonemasons.htm,See How to Become One,None,See How to Become One,302100,-10000,Terrazzo grinders,46500.0,22.35,-0.03, Decline
https://www.bls.gov/ooh/healthcare/dentists.htm,Doctoral or professional degree,None,See How to Become One,151600,4000,Prosthodontists,159200.0,76.54,0.03, As fast as average
https://www.bls.gov/ooh/construction-and-extraction/plumbers-pipefitters-and-steamfitters.htm,High school diploma or equivalent,None,Apprenticeship,490200,20900,Water pump installers,55160.0,26.52,0.04, As fast as average
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,Doctoral or professional degree,None,Internship/residency,752400,27300,Ophthalmologists,208000.0,100.0,0.04, As fast as average
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,Doctoral or professional degree,None,Internship/residency,752400,27300,Aviation medicine specialists,208000.0,100.0,0.04, As fast as average
https://www.bls.gov/ooh/management/financial-managers.htm,Bachelor's degree,5 years or more,None,697900,108100,Risk and insurance managers,129890.0,62.45,0.15, Much faster than average
https://www.bls.gov/ooh/healthcare/genetic-counselors.htm,Master's degree,None,None,2600,600,Mitochondrial disorders counselors,81880.0,39.36,0.21, Much faster than average
https://www.bls.gov/ooh/personal-care-and-service/animal-care-and-service-workers.htm,High school diploma or equivalent,None,See How to Become One,350900,75500,Marine mammal trainers,24990.0,12.02,0.22, Much faster than average
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,See How to Become One,None,Short-term on-the-job training,1643900,81000,Construction trench diggers,36000.0,17.31,0.05, Faster than average
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-204300,Jet engine assemblers,33710.0,16.21,-0.11, Decline
https://www.bls.gov/ooh/media-and-communication/broadcast-and-sound-engineering-technicians.htm,See How to Become One,None,Short-term on-the-job training,140300,13200,Sound assistants,45510.0,21.88,0.09, Much faster than average
https://www.bls.gov/ooh/personal-care-and-service/animal-care-and-service-workers.htm,High school diploma or equivalent,None,See How to Become One,350900,75500,Pet groomers,24990.0,12.02,0.22, Much faster than average
https://www.bls.gov/ooh/management/human-resources-managers.htm,Bachelor's degree,5 years or more,None,165200,10400,Personnel administrators,116720.0,56.11,0.06, Faster than average
https://www.bls.gov/ooh/construction-and-extraction/solar-photovoltaic-installers.htm,High school diploma or equivalent,None,Moderate-term on-the-job training,12000,6100,PV panel installers,44890.0,21.58,0.51, Much faster than average
https://www.bls.gov/ooh/legal/judges-and-hearing-officers.htm,Doctoral or professional degree,5 years or more,Short-term on-the-job training,45300,1100,Judges and hearing officers,120090.0,57.74,0.02, Slower than average
https://www.bls.gov/ooh/management/training-and-development-managers.htm,Bachelor's degree,5 years or more,None,42300,3100,Training and development managers,113350.0,54.5,0.07, Faster than average
https://www.bls.gov/ooh/construction-and-extraction/construction-equipment-operators.htm,High school diploma or equivalent,None,Moderate-term on-the-job training,468300,19200,Asphalt roller operators,48160.0,23.16,0.04, As fast as average
https://www.bls.gov/ooh/construction-and-extraction/structural-iron-and-steel-workers.htm,High school diploma or equivalent,None,Apprenticeship,95900,4500,Post tensioning ironworkers,53650.0,25.79,0.05, Faster than average
https://www.bls.gov/ooh/education-training-and-library/special-education-teachers.htm,Bachelor's degree,None,None,443700,14300,Secondary school special education teachers,61030.0,0.0,0.03, As fast as average
