URL,2019 Median Pay,Typical Entry-Level Education,Work Experience in a Related Occupation,On-the-job Training,"Number of Jobs, 2019","Job Outlook, 2019-29","Employment Change, 2019-29",Job_Title
https://www.bls.gov/ooh/healthcare/radiation-therapists.htm,"$85,560 per year  $41.14 per hour",Associate's degree,None,None,18500,7% (Faster than average),1300,Radiation therapists
https://www.bls.gov/ooh/education-training-and-library/adult-literacy-and-ged-teachers.htm,"$54,350 per year  $26.13 per hour",Bachelor's degree,None,None,59300,-10% (Decline),-6200,High school equivalency diploma teachers
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,"$40,540 per year  $19.49 per hour",High school diploma or equivalent,None,See How to Become One,1343400,0% (Little or no change),3500,Gaming cage cashiers
https://www.bls.gov/ooh/arts-and-design/craft-and-fine-artists.htm,"$48,760 per year  $23.44 per hour",See How to Become One,None,Long-term on-the-job training,51900,0% (Little or no change),100,Portrait painters
https://www.bls.gov/ooh/healthcare/pharmacy-technicians.htm,"$33,950 per year  $16.32 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,422300,4% (As fast as average),15200,Pharmacy technicians
https://www.bls.gov/ooh/healthcare/nurse-anesthetists-nurse-midwives-and-nurse-practitioners.htm,"$115,800 per year  $55.67 per hour",Master's degree,None,None,263400,45% (Much faster than average),117700,CRNAs
https://www.bls.gov/ooh/healthcare/speech-language-pathologists.htm,"$79,120 per year  $38.04 per hour",Master's degree,None,Internship/residency,162600,25% (Much faster than average),40500,Public school speech clinicians
https://www.bls.gov/ooh/construction-and-extraction/brickmasons-blockmasons-and-stonemasons.htm,"$46,500 per year  $22.35 per hour",See How to Become One,None,See How to Become One,302100,-3% (Decline),-10000,Terrazzo grinders
https://www.bls.gov/ooh/healthcare/dentists.htm,"$159,200 per year  $76.54 per hour",Doctoral or professional degree,None,See How to Become One,151600,3% (As fast as average),4000,Prosthodontists
https://www.bls.gov/ooh/construction-and-extraction/plumbers-pipefitters-and-steamfitters.htm,"$55,160 per year  $26.52 per hour",High school diploma or equivalent,None,Apprenticeship,490200,4% (As fast as average),20900,Water pump installers
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,"This wage is equal to or greater than $208,000 per year or $100.00 per hour.",Doctoral or professional degree,None,Internship/residency,752400,4% (As fast as average),27300,Ophthalmologists
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,"This wage is equal to or greater than $208,000 per year or $100.00 per hour.",Doctoral or professional degree,None,Internship/residency,752400,4% (As fast as average),27300,Aviation medicine specialists
https://www.bls.gov/ooh/management/financial-managers.htm,"$129,890 per year  $62.45 per hour",Bachelor's degree,5 years or more,None,697900,15% (Much faster than average),108100,Risk and insurance managers
https://www.bls.gov/ooh/healthcare/genetic-counselors.htm,"$81,880 per year  $39.36 per hour",Master's degree,None,None,2600,21% (Much faster than average),600,Mitochondrial disorders counselors
https://www.bls.gov/ooh/personal-care-and-service/animal-care-and-service-workers.htm,"$24,990 per year  $12.02 per hour",High school diploma or equivalent,None,See How to Become One,350900,22% (Much faster than average),75500,Marine mammal trainers
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,"$36,000 per year  $17.31 per hour",See How to Become One,None,Short-term on-the-job training,1643900,5% (Faster than average),81000,Construction trench diggers
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,"$33,710 per year  $16.21 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-11% (Decline),-204300,Jet engine assemblers
https://www.bls.gov/ooh/media-and-communication/broadcast-and-sound-engineering-technicians.htm,"$45,510 per year  $21.88 per hour",See How to Become One,None,Short-term on-the-job training,140300,9% (Much faster than average),13200,Sound assistants
https://www.bls.gov/ooh/personal-care-and-service/animal-care-and-service-workers.htm,"$24,990 per year  $12.02 per hour",High school diploma or equivalent,None,See How to Become One,350900,22% (Much faster than average),75500,Pet groomers
https://www.bls.gov/ooh/management/human-resources-managers.htm,"$116,720 per year  $56.11 per hour",Bachelor's degree,5 years or more,None,165200,6% (Faster than average),10400,Personnel administrators
https://www.bls.gov/ooh/construction-and-extraction/solar-photovoltaic-installers.htm,"$44,890 per year  $21.58 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,12000,51% (Much faster than average),6100,PV panel installers
https://www.bls.gov/ooh/legal/judges-and-hearing-officers.htm,"$120,090 per year  $57.74 per hour",Doctoral or professional degree,5 years or more,Short-term on-the-job training,45300,2% (Slower than average),1100,Judges and hearing officers
https://www.bls.gov/ooh/management/training-and-development-managers.htm,"$113,350 per year  $54.50 per hour",Bachelor's degree,5 years or more,None,42300,7% (Faster than average),3100,Training and development managers
https://www.bls.gov/ooh/construction-and-extraction/construction-equipment-operators.htm,"$48,160 per year  $23.16 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,468300,4% (As fast as average),19200,Asphalt roller operators
https://www.bls.gov/ooh/construction-and-extraction/structural-iron-and-steel-workers.htm,"$53,650 per year  $25.79 per hour",High school diploma or equivalent,None,Apprenticeship,95900,5% (Faster than average),4500,Post tensioning ironworkers
https://www.bls.gov/ooh/education-training-and-library/special-education-teachers.htm,"$61,030 per year",Bachelor's degree,None,None,443700,3% (As fast as average),14300,Secondary school special education teachers
https://www.bls.gov/ooh/construction-and-extraction/glaziers.htm,"$44,630 per year  $21.46 per hour",High school diploma or equivalent,None,Apprenticeship,52800,4% (As fast as average),2100,Stained glass joiners
https://www.bls.gov/ooh/construction-and-extraction/elevator-installers-and-repairers.htm,"$84,990 per year  $40.86 per hour",High school diploma or equivalent,None,Apprenticeship,28900,7% (Faster than average),1900,Elevator installers
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,"$36,000 per year  $17.31 per hour",See How to Become One,None,Short-term on-the-job training,1643900,5% (Faster than average),81000,Electrical sign wirer helpers
