URL,2019 Median Pay,Typical Entry-Level Education,Work Experience in a Related Occupation,On-the-job Training,"Number of Jobs, 2019","Job Outlook, 2019-29","Employment Change, 2019-29",Job_Title
https://www.bls.gov/ooh/education-training-and-library/adult-literacy-and-ged-teachers.htm,"$54,350 per year  $26.13 per hour",Bachelor's degree,None,None,59300,-10% (Decline),-6200,Adult education teachers
https://www.bls.gov/ooh/education-training-and-library/career-and-technical-education-teachers.htm,"$58,110 per year",Bachelor's degree,Less than 5 years,None,209700,2% (Slower than average),3400,Middle school vocational education teachers
https://www.bls.gov/ooh/construction-and-extraction/glaziers.htm,"$44,630 per year  $21.46 per hour",High school diploma or equivalent,None,Apprenticeship,52800,4% (As fast as average),2100,Stained glass glaziers
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,"$35,390 per year  $17.01 per hour",See How to Become One,None,See How to Become One,1465800,-3% (Decline),-38000,Catalogue clerks
https://www.bls.gov/ooh/construction-and-extraction/tile-and-marble-setters.htm,"$42,050 per year  $20.22 per hour",No formal educational credential,None,See How to Become One,123400,3% (As fast as average),4100,Parquet floor layers
https://www.bls.gov/ooh/architecture-and-engineering/electrical-and-electronics-engineers.htm,"$101,250 per year  $48.68 per hour",Bachelor's degree,None,None,328100,3% (As fast as average),10800,Electrical engineers
https://www.bls.gov/ooh/construction-and-extraction/carpenters.htm,"$48,330 per year  $23.24 per hour",High school diploma or equivalent,None,Apprenticeship,1024100,0% (Little or no change),-4200,Rough carpenters
https://www.bls.gov/ooh/life-physical-and-social-science/historians.htm,"$63,680 per year  $30.62 per hour",Master's degree,None,None,3500,3% (As fast as average),100,Historians
https://www.bls.gov/ooh/arts-and-design/floral-designers.htm,"$28,040 per year  $13.48 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,51800,-20% (Decline),-10400,Florist designers
https://www.bls.gov/ooh/education-training-and-library/adult-literacy-and-ged-teachers.htm,"$54,350 per year  $26.13 per hour",Bachelor's degree,None,None,59300,-10% (Decline),-6200,General educational development teachers
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,"$40,540 per year  $19.49 per hour",High school diploma or equivalent,None,See How to Become One,1343400,0% (Little or no change),3500,Loan inspectors
https://www.bls.gov/ooh/education-training-and-library/library-technicians-and-assistants.htm,"$30,560 per year  $14.69 per hour",See How to Become One,None,See How to Become One,184600,-4% (Decline),-7100,Library circulation clerks
https://www.bls.gov/ooh/arts-and-design/industrial-designers.htm,"$68,890 per year  $33.12 per hour",Bachelor's degree,None,None,42200,-4% (Decline),-1500,Toy designers
https://www.bls.gov/ooh/education-training-and-library/high-school-teachers.htm,"$61,660 per year",Bachelor's degree,None,None,1050800,4% (As fast as average),40200,High school music directors
https://www.bls.gov/ooh/construction-and-extraction/tile-and-marble-setters.htm,"$42,050 per year  $20.22 per hour",No formal educational credential,None,See How to Become One,123400,3% (As fast as average),4100,Vinyl installers
https://www.bls.gov/ooh/healthcare/podiatrists.htm,"$126,240 per year  $60.69 per hour",Doctoral or professional degree,None,Internship/residency,10500,0% (Little or no change),0,Doctors of podiatric medicine
https://www.bls.gov/ooh/management/postsecondary-education-administrators.htm,"$95,410 per year  $45.87 per hour",Master's degree,Less than 5 years,None,190500,4% (As fast as average),7100,Student affairs administrators
https://www.bls.gov/ooh/media-and-communication/announcers.htm,"$39,790 per year  $19.13 per hour",See How to Become One,None,See How to Become One,76000,1% (Slower than average),700,Radio hosts
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,"$33,710 per year  $16.21 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-11% (Decline),-204300,Fabricators
https://www.bls.gov/ooh/healthcare/physical-therapist-assistants-and-aides.htm,"$48,990 per year  $23.55 per hour",See How to Become One,None,See How to Become One,149300,29% (Much faster than average),43000,LPTAs
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,"$40,540 per year  $19.49 per hour",High school diploma or equivalent,None,See How to Become One,1343400,0% (Little or no change),3500,Insurance policy issue clerks
https://www.bls.gov/ooh/construction-and-extraction/structural-iron-and-steel-workers.htm,"$53,650 per year  $25.79 per hour",High school diploma or equivalent,None,Apprenticeship,95900,5% (Faster than average),4500,Bridge ironworkers
https://www.bls.gov/ooh/healthcare/clinical-laboratory-technologists-and-technicians.htm,"$53,120 per year  $25.54 per hour",Bachelor's degree,None,None,337800,7% (Faster than average),24700,Clinical laboratory technologists and technicians
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,"$36,000 per year  $17.31 per hour",See How to Become One,None,Short-term on-the-job training,1643900,5% (Faster than average),81000,Swimming pool plasterer helpers
https://www.bls.gov/ooh/architecture-and-engineering/drafters.htm,"$56,830 per year  $27.32 per hour",Associate's degree,None,None,200900,-4% (Decline),-7100,Electrical systems drafters
https://www.bls.gov/ooh/healthcare/medical-assistants.htm,"$34,800 per year  $16.73 per hour",Postsecondary nondegree award,None,None,725200,19% (Much faster than average),139200,Medical assistants
https://www.bls.gov/ooh/healthcare/nurse-anesthetists-nurse-midwives-and-nurse-practitioners.htm,"$115,800 per year  $55.67 per hour",Master's degree,None,None,263400,45% (Much faster than average),117700,Family practice nurse practitioners
https://www.bls.gov/ooh/construction-and-extraction/carpenters.htm,"$48,330 per year  $23.24 per hour",High school diploma or equivalent,None,Apprenticeship,1024100,0% (Little or no change),-4200,Wood floor layers
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,"This wage is equal to or greater than $208,000 per year or $100.00 per hour.",Doctoral or professional degree,None,Internship/residency,752400,4% (As fast as average),27300,General practitioners
https://www.bls.gov/ooh/construction-and-extraction/brickmasons-blockmasons-and-stonemasons.htm,"$46,500 per year  $22.35 per hour",See How to Become One,None,See How to Become One,302100,-3% (Decline),-10000,"Pointing, cleaning, and caulking workers"
https://www.bls.gov/ooh/healthcare/dental-assistants.htm,"$40,080 per year  $19.27 per hour",Postsecondary nondegree award,None,None,354600,7% (Faster than average),23400,Dental assistants
https://www.bls.gov/ooh/education-training-and-library/curators-museum-technicians-and-conservators.htm,"$49,850 per year  $23.97 per hour",See How to Become One,None,None,37500,11% (Much faster than average),4200,Museum directors
https://www.bls.gov/ooh/management/administrative-services-managers.htm,"$96,940 per year  $46.61 per hour",Bachelor's degree,Less than 5 years,None,325900,6% (Faster than average),21200,General managers
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,"This wage is equal to or greater than $208,000 per year or $100.00 per hour.",Doctoral or professional degree,None,Internship/residency,752400,4% (As fast as average),27300,Allopathic physicians and surgeons
https://www.bls.gov/ooh/media-and-communication/broadcast-and-sound-engineering-technicians.htm,"$45,510 per year  $21.88 per hour",See How to Become One,None,Short-term on-the-job training,140300,9% (Much faster than average),13200,Radio and television technicians
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,"$35,390 per year  $17.01 per hour",See How to Become One,None,See How to Become One,1465800,-3% (Decline),-38000,Subscription clerks
https://www.bls.gov/ooh/healthcare/emts-and-paramedics.htm,"$35,400 per year  $17.02 per hour",Postsecondary nondegree award,None,None,265200,6% (Faster than average),17000,EMTs-intermediate
https://www.bls.gov/ooh/media-and-communication/film-and-video-editors-and-camera-operators.htm,"$59,810 per year  $28.76 per hour",Bachelor's degree,None,None,67900,18% (Much faster than average),12400,Assistant editors
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,"$35,390 per year  $17.01 per hour",See How to Become One,None,See How to Become One,1465800,-3% (Decline),-38000,Docket clerks
https://www.bls.gov/ooh/healthcare/nuclear-medicine-technologists.htm,"$77,950 per year  $37.48 per hour",Associate's degree,None,None,18500,5% (Faster than average),1000,Nuclear medicine technologists
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,"$40,540 per year  $19.49 per hour",High school diploma or equivalent,None,See How to Become One,1343400,0% (Little or no change),3500,Brokers' assistants
https://www.bls.gov/ooh/management/top-executives.htm,"$104,690 per year  $50.33 per hour",Bachelor's degree,5 years or more,None,2774300,4% (As fast as average),115000,Mayors
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,"$40,540 per year  $19.49 per hour",High school diploma or equivalent,None,See How to Become One,1343400,0% (Little or no change),3500,Receive-and-deliver clerks
https://www.bls.gov/ooh/architecture-and-engineering/chemical-engineers.htm,"$108,770 per year  $52.30 per hour",Bachelor's degree,None,None,32600,4% (As fast as average),1400,Polymerization engineers
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,"$40,540 per year  $19.49 per hour",High school diploma or equivalent,None,See How to Become One,1343400,0% (Little or no change),3500,New accounts banking representatives
https://www.bls.gov/ooh/healthcare/registered-nurses.htm,"$73,300 per year  $35.24 per hour",Bachelor's degree,None,None,3096700,7% (Faster than average),221900,Clinical nurse specialists
https://www.bls.gov/ooh/construction-and-extraction/elevator-installers-and-repairers.htm,"$84,990 per year  $40.86 per hour",High school diploma or equivalent,None,Apprenticeship,28900,7% (Faster than average),1900,Elevator repair and maintenance technicians
https://www.bls.gov/ooh/education-training-and-library/teacher-assistants.htm,"$27,920 per year","Some college, no degree",None,None,1395900,4% (As fast as average),50500,Paraeducators
https://www.bls.gov/ooh/media-and-communication/editors.htm,"$61,370 per year  $29.50 per hour",Bachelor's degree,Less than 5 years,None,118700,-7% (Decline),-8700,Managing editors
https://www.bls.gov/ooh/healthcare/nursing-assistants.htm,"$29,640 per year  $14.25 per hour",See How to Become One,None,See How to Become One,1579100,8% (Much faster than average),119500,Nursing aides
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,"This wage is equal to or greater than $208,000 per year or $100.00 per hour.",Doctoral or professional degree,None,Internship/residency,752400,4% (As fast as average),27300,Emergency physicians
https://www.bls.gov/ooh/healthcare/occupational-therapy-assistants-and-aides.htm,"$59,200 per year  $28.46 per hour",See How to Become One,None,See How to Become One,55100,32% (Much faster than average),17900,Occupational rehabilitation aides
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,"$35,390 per year  $17.01 per hour",See How to Become One,None,See How to Become One,1465800,-3% (Decline),-38000,Records clerks
https://www.bls.gov/ooh/media-and-communication/writers-and-authors.htm,"$63,200 per year  $30.39 per hour",Bachelor's degree,None,Long-term on-the-job training,131200,-2% (Decline),-3100,Verse writers
https://www.bls.gov/ooh/management/top-executives.htm,"$104,690 per year  $50.33 per hour",Bachelor's degree,5 years or more,None,2774300,4% (As fast as average),115000,College presidents
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,"$36,000 per year  $17.31 per hour",See How to Become One,None,Short-term on-the-job training,1643900,5% (Faster than average),81000,Stage electrician helpers
https://www.bls.gov/ooh/healthcare/speech-language-pathologists.htm,"$79,120 per year  $38.04 per hour",Master's degree,None,Internship/residency,162600,25% (Much faster than average),40500,"Therapists, speech"
https://www.bls.gov/ooh/management/compensation-and-benefits-managers.htm,"$122,270 per year  $58.78 per hour",Bachelor's degree,5 years or more,None,18000,3% (As fast as average),500,Wage and salary administrators
https://www.bls.gov/ooh/arts-and-design/fashion-designers.htm,"$73,790 per year  $35.48 per hour",Bachelor's degree,None,None,28300,-4% (Decline),-1300,Dance costume designers
https://www.bls.gov/ooh/construction-and-extraction/sheet-metal-workers.htm,"$50,400 per year  $24.23 per hour",High school diploma or equivalent,None,Apprenticeship,137700,1% (Slower than average),1800,"Heating, ventilation, and air conditioning  (HVAC) sheet metal installers"
https://www.bls.gov/ooh/construction-and-extraction/roofers.htm,"$42,100 per year  $20.24 per hour",No formal educational credential,None,Moderate-term on-the-job training,161600,2% (Slower than average),3800,Sheet metal roofers
https://www.bls.gov/ooh/architecture-and-engineering/aerospace-engineers.htm,"$116,500 per year  $56.01 per hour",Bachelor's degree,None,None,66400,3% (As fast as average),1900,Wind tunnel engineers
https://www.bls.gov/ooh/arts-and-design/industrial-designers.htm,"$68,890 per year  $33.12 per hour",Bachelor's degree,None,None,42200,-4% (Decline),-1500,Furniture designers
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,"$35,390 per year  $17.01 per hour",See How to Become One,None,See How to Become One,1465800,-3% (Decline),-38000,Municipal clerks
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,"$40,540 per year  $19.49 per hour",High school diploma or equivalent,None,See How to Become One,1343400,0% (Little or no change),3500,Loan service clerks
https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,"$23,520 per year  $11.31 per hour",High school diploma or equivalent,See How to Become One,See How to Become One,187300,10% (Much faster than average),19000,Slot floor supervisors
https://www.bls.gov/ooh/architecture-and-engineering/environmental-engineers.htm,"$88,860 per year  $42.72 per hour",Bachelor's degree,None,None,55800,3% (As fast as average),1700,Pollution control engineers
https://www.bls.gov/ooh/construction-and-extraction/solar-photovoltaic-installers.htm,"$44,890 per year  $21.58 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,12000,51% (Much faster than average),6100,Solar photovoltaic installers
https://www.bls.gov/ooh/construction-and-extraction/insulation-workers.htm,"$44,180 per year  $21.24 per hour",See How to Become One,None,See How to Become One,61300,3% (As fast as average),1800,Refrigeration insulators
https://www.bls.gov/ooh/construction-and-extraction/solar-photovoltaic-installers.htm,"$44,890 per year  $21.58 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,12000,51% (Much faster than average),6100,Photovoltaic (PV) installation technicians
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,"$40,540 per year  $19.49 per hour",High school diploma or equivalent,None,See How to Become One,1343400,0% (Little or no change),3500,Timekeeping clerks
https://www.bls.gov/ooh/sales/cashiers.htm,"$23,650 per year  $11.37 per hour",No formal educational credential,None,Short-term on-the-job training,3600900,-7% (Decline),-265300,Cashiers
https://www.bls.gov/ooh/arts-and-design/interior-designers.htm,"$56,040 per year  $26.94 per hour",Bachelor's degree,None,None,77900,-5% (Decline),-3800,Certified kitchen designers
https://www.bls.gov/ooh/media-and-communication/photographers.htm,"$36,280 per year  $17.44 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,133500,-4% (Decline),-4800,Photojournalists
https://www.bls.gov/ooh/healthcare/optometrists.htm,"$115,250 per year  $55.41 per hour",Doctoral or professional degree,None,None,44400,4% (As fast as average),1900,Optometrists
https://www.bls.gov/ooh/transportation-and-material-moving/delivery-truck-drivers-and-driver-sales-workers.htm,"$32,020 per year  $15.39 per hour",High school diploma or equivalent,None,Short-term on-the-job training,1506000,5% (Faster than average),75000,Bobtailers
https://www.bls.gov/ooh/media-and-communication/reporters-correspondents-and-broadcast-news-analysts.htm,"$46,270 per year  $22.25 per hour",Bachelor's degree,None,None,52000,-11% (Decline),-5800,News analysts
https://www.bls.gov/ooh/media-and-communication/broadcast-and-sound-engineering-technicians.htm,"$45,510 per year  $21.88 per hour",See How to Become One,None,Short-term on-the-job training,140300,9% (Much faster than average),13200,Public address technicians
https://www.bls.gov/ooh/architecture-and-engineering/aerospace-engineers.htm,"$116,500 per year  $56.01 per hour",Bachelor's degree,None,None,66400,3% (As fast as average),1900,Rocket engineers
https://www.bls.gov/ooh/construction-and-extraction/drywall-and-ceiling-tile-installers-and-tapers.htm,"$47,360 per year  $22.77 per hour",No formal educational credential,None,Moderate-term on-the-job training,146900,0% (Little or no change),-300,Tapers
https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,"$23,520 per year  $11.31 per hour",High school diploma or equivalent,See How to Become One,See How to Become One,187300,10% (Much faster than average),19000,Casino floor runners
https://www.bls.gov/ooh/management/preschool-and-childcare-center-directors.htm,"$48,210 per year  $23.18 per hour",Bachelor's degree,Less than 5 years,None,69200,1% (Slower than average),700,Early Head Start directors
https://www.bls.gov/ooh/community-and-social-service/substance-abuse-behavioral-disorder-and-mental-health-counselors.htm,"$46,240 per year  $22.23 per hour",Bachelor's degree,None,None,319400,25% (Much faster than average),79000,Drug counselors
https://www.bls.gov/ooh/construction-and-extraction/tile-and-marble-setters.htm,"$42,050 per year  $20.22 per hour",No formal educational credential,None,See How to Become One,123400,3% (As fast as average),4100,Commercial carpet installers
https://www.bls.gov/ooh/media-and-communication/writers-and-authors.htm,"$63,200 per year  $30.39 per hour",Bachelor's degree,None,Long-term on-the-job training,131200,-2% (Decline),-3100,Content writers
https://www.bls.gov/ooh/management/social-and-community-service-managers.htm,"$67,150 per year  $32.28 per hour",Bachelor's degree,Less than 5 years,None,175500,17% (Much faster than average),29800,Community services directors
https://www.bls.gov/ooh/arts-and-design/floral-designers.htm,"$28,040 per year  $13.48 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,51800,-20% (Decline),-10400,Floral decorators
https://www.bls.gov/ooh/healthcare/medical-assistants.htm,"$34,800 per year  $16.73 per hour",Postsecondary nondegree award,None,None,725200,19% (Much faster than average),139200,Podiatric aides
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,"$40,540 per year  $19.49 per hour",High school diploma or equivalent,None,See How to Become One,1343400,0% (Little or no change),3500,Mortgage loan closers
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,"$40,540 per year  $19.49 per hour",High school diploma or equivalent,None,See How to Become One,1343400,0% (Little or no change),3500,Credit rating checkers
https://www.bls.gov/ooh/management/construction-managers.htm,"$95,260 per year  $45.80 per hour",Bachelor's degree,None,Moderate-term on-the-job training,476700,8% (Much faster than average),40400,Project managers
https://www.bls.gov/ooh/education-training-and-library/librarians.htm,"$59,500 per year  $28.61 per hour",Bachelor's degree,None,None,146500,5% (Faster than average),7300,Librarians
https://www.bls.gov/ooh/construction-and-extraction/tile-and-marble-setters.htm,"$42,050 per year  $20.22 per hour",No formal educational credential,None,See How to Become One,123400,3% (As fast as average),4100,Carpet layers
https://www.bls.gov/ooh/healthcare/emts-and-paramedics.htm,"$35,400 per year  $17.02 per hour",Postsecondary nondegree award,None,None,265200,6% (Faster than average),17000,Ambulance driver-paramedics
https://www.bls.gov/ooh/construction-and-extraction/tile-and-marble-setters.htm,"$42,050 per year  $20.22 per hour",No formal educational credential,None,See How to Become One,123400,3% (As fast as average),4100,Apprentice hard tile installers
https://www.bls.gov/ooh/construction-and-extraction/electricians.htm,"$56,180 per year  $27.01 per hour",High school diploma or equivalent,None,Apprenticeship,739200,8% (Much faster than average),62200,Inside wire installers
https://www.bls.gov/ooh/media-and-communication/film-and-video-editors-and-camera-operators.htm,"$59,810 per year  $28.76 per hour",Bachelor's degree,None,None,67900,18% (Much faster than average),12400,Assistant camera operators
https://www.bls.gov/ooh/community-and-social-service/substance-abuse-behavioral-disorder-and-mental-health-counselors.htm,"$46,240 per year  $22.23 per hour",Bachelor's degree,None,None,319400,25% (Much faster than average),79000,Certified abuse and drug addiction counselors
https://www.bls.gov/ooh/personal-care-and-service/animal-care-and-service-workers.htm,"$24,990 per year  $12.02 per hour",High school diploma or equivalent,None,See How to Become One,350900,22% (Much faster than average),75500,Lion trainers
https://www.bls.gov/ooh/construction-and-extraction/construction-and-building-inspectors.htm,"$60,710 per year  $29.19 per hour",High school diploma or equivalent,5 years or more,Moderate-term on-the-job training,120800,3% (As fast as average),3900,Mechanical inspectors
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,"$40,540 per year  $19.49 per hour",High school diploma or equivalent,None,See How to Become One,1343400,0% (Little or no change),3500,Mortgage loan processing clerks
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,"$40,540 per year  $19.49 per hour",High school diploma or equivalent,None,See How to Become One,1343400,0% (Little or no change),3500,Loan expediters
https://www.bls.gov/ooh/healthcare/physician-assistants.htm,"$112,260 per year  $53.97 per hour",Master's degree,None,None,125500,31% (Much faster than average),39300,Physician assistants
https://www.bls.gov/ooh/construction-and-extraction/insulation-workers.htm,"$44,180 per year  $21.24 per hour",See How to Become One,None,See How to Become One,61300,3% (As fast as average),1800,Sheet metal insulators
https://www.bls.gov/ooh/management/construction-managers.htm,"$95,260 per year  $45.80 per hour",Bachelor's degree,None,Moderate-term on-the-job training,476700,8% (Much faster than average),40400,Constructors
https://www.bls.gov/ooh/construction-and-extraction/tile-and-marble-setters.htm,"$42,050 per year  $20.22 per hour",No formal educational credential,None,See How to Become One,123400,3% (As fast as average),4100,Floor sanders
https://www.bls.gov/ooh/media-and-communication/broadcast-and-sound-engineering-technicians.htm,"$45,510 per year  $21.88 per hour",See How to Become One,None,Short-term on-the-job training,140300,9% (Much faster than average),13200,Television audio engineers
https://www.bls.gov/ooh/office-and-administrative-support/customer-service-representatives.htm,"$34,710 per year  $16.69 per hour",High school diploma or equivalent,None,Short-term on-the-job training,3018800,-2% (Decline),-59000,Customer relations representatives
https://www.bls.gov/ooh/construction-and-extraction/painters-construction-and-maintenance.htm,"$40,280 per year  $19.37 per hour",No formal educational credential,None,Moderate-term on-the-job training,379500,0% (Little or no change),900,Interior painters
https://www.bls.gov/ooh/media-and-communication/film-and-video-editors-and-camera-operators.htm,"$59,810 per year  $28.76 per hour",Bachelor's degree,None,None,67900,18% (Much faster than average),12400,News videotape editors
https://www.bls.gov/ooh/construction-and-extraction/tile-and-marble-setters.htm,"$42,050 per year  $20.22 per hour",No formal educational credential,None,See How to Become One,123400,3% (As fast as average),4100,Tile masons
https://www.bls.gov/ooh/arts-and-design/interior-designers.htm,"$56,040 per year  $26.94 per hour",Bachelor's degree,None,None,77900,-5% (Decline),-3800,Healthcare designers
https://www.bls.gov/ooh/media-and-communication/technical-writers.htm,"$72,850 per year  $35.03 per hour",Bachelor's degree,Less than 5 years,Short-term on-the-job training,58400,7% (Faster than average),4300,Content developers
https://www.bls.gov/ooh/healthcare/surgical-technologists.htm,"$48,300 per year  $23.22 per hour",Postsecondary nondegree award,None,None,111300,7% (Faster than average),7600,Surgical technicians
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,"$33,710 per year  $16.21 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-11% (Decline),-204300,Assemblers and fabricators
https://www.bls.gov/ooh/education-training-and-library/kindergarten-and-elementary-school-teachers.htm,"$59,420 per year",Bachelor's degree,None,None,1579800,4% (As fast as average),56100,Grades 1-5 teachers
https://www.bls.gov/ooh/education-training-and-library/library-technicians-and-assistants.htm,"$30,560 per year  $14.69 per hour",See How to Become One,None,See How to Become One,184600,-4% (Decline),-7100,Library aides
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,"$40,540 per year  $19.49 per hour",High school diploma or equivalent,None,See How to Become One,1343400,0% (Little or no change),3500,Credit reference clerks
https://www.bls.gov/ooh/arts-and-design/craft-and-fine-artists.htm,"$48,760 per year  $23.44 per hour",See How to Become One,None,Long-term on-the-job training,51900,0% (Little or no change),100,Oil painters
https://www.bls.gov/ooh/construction-and-extraction/elevator-installers-and-repairers.htm,"$84,990 per year  $40.86 per hour",High school diploma or equivalent,None,Apprenticeship,28900,7% (Faster than average),1900,Hydraulic elevator constructors
https://www.bls.gov/ooh/education-training-and-library/library-technicians-and-assistants.htm,"$30,560 per year  $14.69 per hour",See How to Become One,None,See How to Become One,184600,-4% (Decline),-7100,Medical library assistants
https://www.bls.gov/ooh/healthcare/audiologists.htm,"$77,600 per year  $37.31 per hour",Doctoral or professional degree,None,None,13800,13% (Much faster than average),1800,Audiologists
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,"This wage is equal to or greater than $208,000 per year or $100.00 per hour.",Doctoral or professional degree,None,Internship/residency,752400,4% (As fast as average),27300,Geriatric psychiatrists
https://www.bls.gov/ooh/education-training-and-library/instructional-coordinators.htm,"$66,290 per year  $31.87 per hour",Master's degree,5 years or more,None,192900,6% (Faster than average),11400,Curriculum and instruction directors
https://www.bls.gov/ooh/architecture-and-engineering/architects.htm,"$80,750 per year  $38.82 per hour",Bachelor's degree,None,Internship/residency,129900,1% (Slower than average),1100,Structural architects
https://www.bls.gov/ooh/construction-and-extraction/solar-photovoltaic-installers.htm,"$44,890 per year  $21.58 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,12000,51% (Much faster than average),6100,Solar panel installers
https://www.bls.gov/ooh/transportation-and-material-moving/heavy-and-tractor-trailer-truck-drivers.htm,"$45,260 per year  $21.76 per hour",Postsecondary nondegree award,None,Short-term on-the-job training,2029900,2% (Slower than average),30600,Over-the-road drivers
https://www.bls.gov/ooh/personal-care-and-service/animal-care-and-service-workers.htm,"$24,990 per year  $12.02 per hour",High school diploma or equivalent,None,See How to Become One,350900,22% (Much faster than average),75500,Dog beauticians
https://www.bls.gov/ooh/healthcare/nurse-anesthetists-nurse-midwives-and-nurse-practitioners.htm,"$115,800 per year  $55.67 per hour",Master's degree,None,None,263400,45% (Much faster than average),117700,Nurse anesthetists
https://www.bls.gov/ooh/architecture-and-engineering/environmental-engineers.htm,"$88,860 per year  $42.72 per hour",Bachelor's degree,None,None,55800,3% (As fast as average),1700,Wastewater treatment engineers
https://www.bls.gov/ooh/construction-and-extraction/sheet-metal-workers.htm,"$50,400 per year  $24.23 per hour",High school diploma or equivalent,None,Apprenticeship,137700,1% (Slower than average),1800,Ventilation technicians
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,"$33,710 per year  $16.21 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-11% (Decline),-204300,Air bag builders
https://www.bls.gov/ooh/media-and-communication/broadcast-and-sound-engineering-technicians.htm,"$45,510 per year  $21.88 per hour",See How to Become One,None,Short-term on-the-job training,140300,9% (Much faster than average),13200,Disc recordists
https://www.bls.gov/ooh/management/administrative-services-managers.htm,"$96,940 per year  $46.61 per hour",Bachelor's degree,Less than 5 years,None,325900,6% (Faster than average),21200,Facilities managers
https://www.bls.gov/ooh/business-and-financial/financial-examiners.htm,"$81,090 per year  $38.99 per hour",Bachelor's degree,None,Long-term on-the-job training,66900,7% (Faster than average),4900,Bank compliance officers
https://www.bls.gov/ooh/construction-and-extraction/plumbers-pipefitters-and-steamfitters.htm,"$55,160 per year  $26.52 per hour",High school diploma or equivalent,None,Apprenticeship,490200,4% (As fast as average),20900,Gasfitters
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,"$40,540 per year  $19.49 per hour",High school diploma or equivalent,None,See How to Become One,1343400,0% (Little or no change),3500,Gaming cashiers
https://www.bls.gov/ooh/community-and-social-service/social-workers.htm,"$50,470 per year  $24.26 per hour",See How to Become One,None,See How to Become One,713200,13% (Much faster than average),90700,Social workers
https://www.bls.gov/ooh/media-and-communication/film-and-video-editors-and-camera-operators.htm,"$59,810 per year  $28.76 per hour",Bachelor's degree,None,None,67900,18% (Much faster than average),12400,Electronic news gathering editors
https://www.bls.gov/ooh/education-training-and-library/curators-museum-technicians-and-conservators.htm,"$49,850 per year  $23.97 per hour",See How to Become One,None,None,37500,11% (Much faster than average),4200,Textile conservators
https://www.bls.gov/ooh/education-training-and-library/curators-museum-technicians-and-conservators.htm,"$49,850 per year  $23.97 per hour",See How to Become One,None,None,37500,11% (Much faster than average),4200,Conservation technicians
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,"$35,390 per year  $17.01 per hour",See How to Become One,None,See How to Become One,1465800,-3% (Decline),-38000,City clerks
https://www.bls.gov/ooh/education-training-and-library/career-and-technical-education-teachers.htm,"$58,110 per year",Bachelor's degree,Less than 5 years,None,209700,2% (Slower than average),3400,Building trades instructors
https://www.bls.gov/ooh/education-training-and-library/special-education-teachers.htm,"$61,030 per year",Bachelor's degree,None,None,443700,3% (As fast as average),14300,High school special education teachers
https://www.bls.gov/ooh/management/farmers-ranchers-and-other-agricultural-managers.htm,"$71,160 per year  $34.21 per hour",High school diploma or equivalent,5 years or more,None,952300,-6% (Decline),-61600,Poultry managers
https://www.bls.gov/ooh/architecture-and-engineering/nuclear-engineers.htm,"$113,460 per year  $54.55 per hour",Bachelor's degree,None,None,16400,-13% (Decline),-2100,Reactor projects engineers
